id,kda_ratio
3_53,2609.5390621377546
4_17,3948.13254913026
9_51,3171.9115388727446
10_54,4016.904488356849
15_74,3628.603759927609
19_38,3176.7721377360967
21_93,4092.80742389444
31_80,3902.0110880932075
34_62,2925.1610497714905
35_74,3808.845494343157
46_14,2535.0211516415334
51_106,5132.425053262334
64_7,3479.1411213780707
66_56,3837.0943161636606
72_26,2222.199964114224
73_17,3875.3243883767004
74_86,2618.775268137227
77_14,2504.7201434624926
83_86,2413.6592173416975
85_13,3505.916974071711
89_114,3414.5402890494174
100_107,2887.3962342791524
101_26,2491.8420988631296
102_86,2377.9572318547584
103_97,3339.3098536649886
105_109,3432.317698003546
107_104,3160.9177784382123
110_55,3873.440309064508
111_46,3696.53074048876
112_70,3597.7447520215846
115_99,4500.258374898633
117_86,2712.5292497698015
119_34,3831.442024638794
120_97,3010.131862954697
121_13,4602.739201120954
123_59,2661.8401778373222
124_46,3573.099146638666
125_1,4677.9540454516555
127_62,3044.1874996210213
132_13,3541.1413019837087
134_23,3941.8784146364083
135_69,3235.3337955793177
140_95,4056.0136996927918
141_69,2934.3792313162285
142_86,2646.4753110630413
156_73,3167.4264917345217
162_74,3851.09325730486
165_11,3403.737066903015
167_17,3494.0196705266217
169_93,4833.388696174945
170_3,2943.442862877634
171_4,3785.9151937352767
173_97,3023.507584391788
175_7,2764.5734374557137
177_43,3388.1341557605147
179_17,3970.864808232023
182_69,3010.1212850097104
185_93,3645.9786180070746
188_13,4077.338740238772
191_17,4160.154443693995
192_8,4036.7608106285684
193_39,4301.1844693822095
195_74,4679.70932074167
201_26,2310.0889224443085
210_81,3689.2786273613497
215_25,2925.5495890237657
224_113,3552.059905490074
227_12,3840.6816109846613
230_77,3950.853177838993
234_10,5498.675516815335
236_7,2963.6542207961716
240_74,3588.0408688635252
242_74,3685.719590546055
244_19,3390.913226931013
245_54,4127.38301884966
251_47,3860.9121455482664
252_74,3486.776635758769
253_17,3525.8536956735315
255_34,3634.119734687442
265_9,3521.7963120374816
266_74,3869.328533318977
268_41,3471.930520918085
269_97,2990.772588030478
271_86,2648.9669833569715
272_74,3851.09325730486
275_27,2340.794062344768
283_63,4122.4240299176945
284_41,4579.38182212113
286_9,4894.975791474412
287_53,2845.5724429458214
293_23,3576.956816003482
294_1,3622.910411560992
308_26,2568.7297503709096
311_109,3734.8640154948407
313_106,5135.055880486088
316_88,3153.718992259472
319_42,4171.083638566465
321_67,4727.711869381335
322_97,3154.392230388233
325_17,3848.7177699409754
330_25,3347.0207554079093
331_62,3132.8489498072377
334_35,3767.7800818022683
339_28,3022.823574890115
342_78,3438.9085523075214
347_106,4795.076051451941
350_86,2608.2624297950565
351_51,3017.6098920625323
353_86,2496.2085303019417
355_36,3520.704348513282
356_98,2970.7255410951125
357_57,2928.0141197993994
360_114,3685.159942440376
363_34,3535.6041888188365
366_7,2872.173938452245
369_11,3029.631640235214
374_107,3295.1740931622207
379_46,3632.97376372276
387_17,3558.3138568086274
391_56,3542.07742788595
392_27,1954.3657183141202
393_100,2806.7435512259376
397_107,2878.896910181459
398_46,3548.668351498172
399_14,2943.725367220365
401_8,3554.577498811947
407_74,3486.776635758769
411_34,3634.119734687442
412_2,3063.885175519911
417_73,3845.736884476084
422_120,3812.8814995479484
423_25,3969.7676912689653
425_86,3220.6182822769274
426_106,3884.106277743046
430_46,4275.989623413973
431_86,3751.2674505461846
435_60,3207.94724528099
436_59,3569.246920149049
438_86,3029.7386468709865
440_75,4128.228884373817
445_1,3931.0850658790864
447_86,3744.202390646318
448_93,3355.658464076565
449_25,3947.561448652641
453_86,3139.3847424334836
454_114,3914.07842469289
461_39,3747.250761416111
463_80,3475.0095310330794
464_46,3715.1036999734006
465_76,3343.3716668689094
471_109,3699.7999127349276
472_10,3526.5445364096436
475_19,3615.6813275174864
480_75,3564.684323479992
485_95,4442.874235824894
486_41,6652.021125053939
489_9,3621.248567086304
493_8,4158.296736336031
494_87,5168.251262364569
495_7,2884.554688925816
496_35,3531.333801739559
497_11,3706.7400568043395
501_65,3979.906094550458
502_71,3629.740765339742
507_86,3263.6099325145856
508_6,4697.759588032409
511_82,3138.778888143949
521_14,3118.9780716894484
523_23,4165.8406871787165
525_10,5939.339119810053
527_76,4048.0076080749704
528_98,3408.548871692673
532_18,3654.69610495898
533_82,3436.7802696885274
536_92,3449.8690418343785
539_69,5773.3131347027265
542_34,3856.836212174692
549_1,4602.759345465266
553_9,3206.2137582397486
555_11,4272.13112310294
560_59,5284.397103197452
561_107,3210.1340225692265
566_8,4040.206204721991
579_95,3538.7822558549833
