iter	Passed	Remaining
0	12	49728
1	27	55395
2	43	58346
3	54	54029
4	66	52985
5	87	58202
6	109	62606
7	126	63043
8	137	60843
9	151	60634
10	162	58925
11	173	57668
12	188	57778
13	203	57827
14	220	58624
15	240	59988
16	260	60922
17	278	61688
18	290	60933
19	304	60627
20	319	60476
21	335	60716
22	352	60983
23	368	60969
24	384	61110
25	393	60068
26	408	60048
27	426	60481
28	448	61363
29	466	61757
30	482	61820
31	497	61718
32	512	61656
33	528	61624
34	543	61527
35	557	61405
36	571	61260
37	587	61283
38	603	61294
39	618	61224
40	637	61580
41	658	62067
42	677	62304
43	692	62260
44	707	62156
45	722	62099
46	737	62028
47	752	61945
48	767	61865
49	782	61823
50	798	61816
51	813	61770
52	827	61642
53	845	61783
54	866	62116
55	886	62403
56	901	62329
57	915	62214
58	929	62106
59	944	62000
60	958	61894
61	973	61816
62	987	61718
63	997	61371
64	1013	61332
65	1028	61310
66	1043	61275
67	1063	61470
68	1082	61673
69	1101	61823
70	1117	61833
71	1138	62126
72	1156	62236
73	1176	62419
74	1195	62552
75	1214	62702
76	1236	62973
77	1257	63229
78	1278	63474
79	1303	63852
80	1324	64088
81	1343	64185
82	1363	64327
83	1386	64653
84	1401	64554
85	1422	64756
86	1441	64834
87	1467	65237
88	1491	65533
89	1515	65837
90	1540	66172
91	1558	66215
92	1579	66342
93	1598	66412
94	1618	66540
95	1640	66698
96	1663	66923
97	1670	66527
98	1687	66480
99	1707	66610
100	1732	66886
101	1753	67023
102	1778	67278
103	1800	67457
104	1820	67530
105	1838	67553
106	1860	67687
107	1881	67802
108	1899	67797
109	1919	67891
110	1943	68098
111	1967	68299
112	1989	68451
113	2015	68690
114	2037	68830
115	2057	68906
116	2072	68775
117	2096	68961
118	2116	69024
119	2140	69223
120	2162	69333
121	2186	69501
122	2208	69608
123	2230	69735
124	2249	69734
125	2266	69677
126	2281	69573
127	2297	69507
128	2312	69406
129	2327	69276
130	2340	69124
131	2360	69161
132	2376	69108
133	2384	68802
134	2399	68695
135	2416	68653
136	2439	68792
137	2460	68857
138	2480	68908
139	2504	69050
140	2524	69088
141	2540	69030
142	2562	69108
143	2580	69088
144	2602	69197
145	2624	69268
146	2644	69317
147	2663	69328
148	2684	69373
149	2705	69441
150	2725	69471
151	2741	69404
152	2762	69459
153	2784	69531
154	2806	69626
155	2828	69695
156	2852	69824
157	2878	69996
158	2905	70190
159	2927	70263
160	2953	70426
161	2976	70528
162	3008	70817
163	3025	70778
164	3047	70823
165	3066	70817
166	3086	70837
167	3107	70882
168	3124	70834
169	3142	70793
170	3164	70856
171	3183	70857
172	3193	70641
173	3212	70647
174	3229	70586
175	3245	70513
176	3260	70421
177	3277	70363
178	3292	70280
179	3306	70181
180	3322	70109
181	3338	70026
182	3353	69939
183	3370	69904
184	3393	69989
185	3413	70001
186	3434	70026
187	3451	69977
188	3467	69920
189	3484	69867
190	3505	69898
191	3528	69987
192	3550	70037
193	3571	70061
194	3593	70128
195	3617	70211
196	3639	70249
197	3662	70336
198	3683	70365
199	3705	70403
200	3729	70493
201	3746	70446
202	3768	70481
203	3794	70606
204	3813	70602
205	3832	70582
206	3853	70614
207	3868	70521
208	3883	70441
209	3898	70356
210	3913	70278
211	3928	70194
212	3943	70113
213	3959	70044
214	3974	69967
215	3988	69879
216	4008	69888
217	4027	69877
218	4044	69820
219	4058	69729
220	4073	69660
221	4091	69627
222	4107	69562
223	4123	69511
224	4139	69446
225	4155	69391
226	4171	69328
227	4187	69270
228	4202	69210
229	4229	69327
230	4255	69436
231	4277	69474
232	4299	69504
233	4318	69494
234	4337	69498
235	4358	69508
236	4378	69512
237	4399	69542
238	4420	69569
239	4439	69548
240	4463	69620
241	4482	69612
242	4498	69549
243	4514	69488
244	4530	69440
245	4547	69390
246	4562	69330
247	4579	69287
248	4595	69232
249	4610	69156
250	4625	69080
