user_id,Sum of num_games,Sum of num_wins,win_user_per
763,4450,3818,0.86
1035,303,257,0.85
1021,308,258,0.84
766,171,142,0.83
936,544,449,0.83
880,213,171,0.8
452,2625,2078,0.79
2780,513,406,0.79
767,172,135,0.78
520,240,187,0.78
1131,666,509,0.76
2016,1961,1498,0.76
1717,659,501,0.76
1983,237,179,0.76
1323,359,271,0.75
115,356,268,0.75
1734,24,18,0.75
2328,1948,1444,0.74
1625,332,246,0.74
1900,1058,783,0.74
328,221,163,0.74
1926,527,388,0.74
267,701,516,0.74
223,2314,1702,0.74
2911,430,316,0.73
615,2206,1614,0.73
1510,223,163,0.73
1895,931,680,0.73
717,370,269,0.73
2877,1075,780,0.73
1807,816,591,0.72
560,123,89,0.72
859,376,272,0.72
1877,704,508,0.72
723,487,351,0.72
703,2037,1466,0.72
1915,824,591,0.72
368,342,245,0.72
2399,1138,815,0.72
2781,697,499,0.72
2327,1837,1314,0.72
2715,1559,1115,0.72
1708,45,32,0.71
2429,2713,1928,0.71
1831,636,451,0.71
455,2387,1691,0.71
981,267,188,0.7
1730,500,352,0.7
2782,1786,1254,0.7
1324,762,535,0.7
1252,1450,1018,0.7
2892,845,593,0.7
286,3118,2188,0.7
23,1788,1254,0.7
2783,1881,1319,0.7
1817,354,248,0.7
656,217,152,0.7
1766,480,336,0.7
2428,1565,1095,0.7
2673,2214,1544,0.7
2501,891,617,0.69
198,1086,752,0.69
2886,1785,1236,0.69
2030,315,218,0.69
2036,1473,1019,0.69
895,308,213,0.69
2061,1405,971,0.69
486,71,49,0.69
2974,1106,763,0.69
2001,1146,790,0.69
1779,296,204,0.69
233,302,208,0.69
1357,356,245,0.69
2596,1492,1026,0.69
385,544,374,0.69
1865,214,147,0.69
1511,386,265,0.69
1190,216,148,0.69
121,473,324,0.68
1709,600,410,0.68
1315,593,405,0.68
1707,167,114,0.68
1976,1931,1318,0.68
754,2236,1525,0.68
2947,596,406,0.68
2589,1224,833,0.68
1845,1801,1225,0.68
302,237,161,0.68
221,1402,951,0.68
1490,351,238,0.68
2435,266,180,0.68
25,844,571,0.68
1594,476,322,0.68
2031,782,529,0.68
904,552,373,0.68
2502,530,358,0.68
1068,576,389,0.68
2398,862,582,0.68
2045,258,174,0.67
2516,985,663,0.67
878,2783,1872,0.67
2375,1927,1296,0.67
2855,565,379,0.67
739,1220,818,0.67
1921,182,122,0.67
814,1601,1073,0.67
937,291,195,0.67
2967,2152,1442,0.67
410,357,239,0.67
2627,1030,689,0.67
498,943,630,0.67
926,726,485,0.67
584,4661,3113,0.67
1872,277,185,0.67
525,1481,988,0.67
1656,174,116,0.67
1990,738,492,0.67
2402,483,322,0.67
2745,449,299,0.67
178,8704,5796,0.67
2716,1906,1269,0.67
2140,1711,1139,0.67
1982,1903,1266,0.67
2461,2234,1484,0.66
2054,634,421,0.66
1777,1658,1099,0.66
195,347,230,0.66
2876,943,625,0.66
2734,507,336,0.66
2104,812,538,0.66
2962,912,604,0.66
1596,290,192,0.66
1856,4743,3136,0.66
1819,540,357,0.66
1869,1926,1272,0.66
2041,338,223,0.66
125,505,333,0.66
2915,1115,735,0.66
539,366,241,0.66
1943,1501,988,0.66
2288,1012,666,0.66
1224,701,461,0.66
2457,1483,975,0.66
2569,455,299,0.66
1022,379,249,0.66
1757,1539,1011,0.66
2912,1635,1074,0.66
995,740,486,0.66
1111,233,153,0.66
2958,576,378,0.66
1774,2077,1363,0.66
2202,1695,1112,0.66
1654,465,305,0.66
1744,1272,834,0.66
2505,882,578,0.66
2390,293,192,0.66
2335,426,279,0.65
234,585,383,0.65
619,417,273,0.65
1718,1989,1302,0.65
2087,546,357,0.65
1647,306,200,0.65
2775,2479,1620,0.65
1922,2592,1693,0.65
1726,331,216,0.65
64,1678,1095,0.65
1945,1073,700,0.65
2324,555,362,0.65
1092,546,356,0.65
1455,295,192,0.65
2597,681,443,0.65
2986,794,516,0.65
2470,1464,951,0.65
1787,635,412,0.65
2703,1924,1248,0.65
2454,748,485,0.65
60,1174,761,0.65
1947,399,258,0.65
2146,741,479,0.65
2108,639,413,0.65
2396,548,354,0.65
2742,2141,1382,0.65
2724,552,356,0.64
2693,1180,761,0.64
2056,2937,1894,0.64
133,1647,1062,0.64
2641,1585,1022,0.64
2679,1131,729,0.64
333,391,252,0.64
1493,402,259,0.64
2109,759,489,0.64
2285,455,293,0.64
1961,774,498,0.64
970,283,182,0.64
158,649,417,0.64
1767,372,239,0.64
1847,422,271,0.64
357,204,131,0.64
2138,299,192,0.64
733,475,305,0.64
2205,567,364,0.64
2826,2807,1802,0.64
1749,507,325,0.64
2744,916,587,0.64
2644,1122,719,0.64
1938,963,617,0.64
169,3353,2148,0.64
2339,2004,1283,0.64
1693,752,481,0.64
284,527,337,0.64
1673,868,555,0.64
1320,316,202,0.64
1806,905,578,0.64
2590,2164,1382,0.64
1381,1159,740,0.64
1715,307,196,0.64
2311,2463,1572,0.64
281,1785,1139,0.64
2466,1395,890,0.64
2833,439,280,0.64
2278,2023,1289,0.64
44,237,151,0.64
2395,617,393,0.64
1991,515,328,0.64
249,3022,1924,0.64
80,616,392,0.64
1145,594,378,0.64
2658,962,612,0.64
1890,453,288,0.64
1863,1463,930,0.64
2619,1114,708,0.64
1544,584,371,0.64
1736,1080,686,0.64
317,307,195,0.64
2279,1610,1022,0.63
2228,1347,855,0.63
2755,339,215,0.63
2227,913,579,0.63
1689,205,130,0.63
2652,820,520,0.63
1479,653,414,0.63
2028,2715,1721,0.63
2261,1210,767,0.63
2181,472,299,0.63
2748,1195,757,0.63
2776,1626,1030,0.63
2626,559,354,0.63
1542,289,183,0.63
639,1003,635,0.63
313,891,564,0.63
595,2831,1791,0.63
2843,1391,880,0.63
51,827,523,0.63
1737,427,270,0.63
2317,416,263,0.63
2194,2759,1744,0.63
985,761,481,0.63
996,182,115,0.63
134,1360,859,0.63
2756,2539,1603,0.63
2791,1906,1203,0.63
229,1406,887,0.63
1435,409,258,0.63
2603,2757,1739,0.63
921,723,456,0.63
2811,1037,654,0.63
1038,333,210,0.63
32,471,297,0.63
2858,996,628,0.63
2334,376,237,0.63
1667,1255,791,0.63
2366,828,521,0.63
1883,3719,2340,0.63
